"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Average m/z","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment"
"","MGDG(8:0_14:1)+Na",0,0,0,0,"0.356601388888889","0.656601388888889","2764","","MGDG(8:0_14:1)+Na",0,0,0,0,"0.356601388888889","0.656601388888889","2764","","MGDG(8:0_14:1)+Na",0,0,0,0,"0.356601388888889","0.656601388888889","2764","","MGDG(8:0_14:1)+Na",0,0,0,0,"0.356601388888889","0.656601388888889","2764","","MGDG(8:0_14:1)+Na",0,0,0,0,"0.356601388888889","0.656601388888889","2764","","MGDG(8:0_14:1)+Na","611.3766","467.2616","385.1833","243.084","0.356601388888889","0.656601388888889","2764"
"","MGDG(8:0_15:1)+Na",0,0,0,0,"0.38675","0.68675","4494","","MGDG(8:0_15:1)+Na",0,0,0,0,"0.38675","0.68675","4494","","MGDG(8:0_15:1)+Na",0,0,0,0,"0.38675","0.68675","4494","","MGDG(8:0_15:1)+Na",0,0,0,0,"0.38675","0.68675","4494","","MGDG(8:0_15:1)+Na",0,0,0,0,"0.38675","0.68675","4494","","MGDG(8:0_15:1)+Na","625.3922","481.2772","385.1833","243.084","0.38675","0.68675","4494"
"","MGDG(8:0_16:1)+Na",0,0,0,0,"0.402827777777778","0.702827777777778","988","","MGDG(8:0_16:1)+Na",0,0,0,0,"0.402827777777778","0.702827777777778","988","","MGDG(8:0_16:1)+Na",0,0,0,0,"0.402827777777778","0.702827777777778","988","","MGDG(8:0_16:1)+Na",0,0,0,0,"0.402827777777778","0.702827777777778","988","","MGDG(8:0_16:1)+Na",0,0,0,0,"0.402827777777778","0.702827777777778","988","","MGDG(8:0_16:1)+Na","639.4079","495.2929","385.1833","243.084","0.402827777777778","0.702827777777778","988"
"","MGDG(8:0_17:1)+Na",0,0,0,0,"0.448061111111111","0.748061111111111","3581","","MGDG(8:0_17:1)+Na",0,0,0,0,"0.448061111111111","0.748061111111111","3581","","MGDG(8:0_17:1)+Na",0,0,0,0,"0.448061111111111","0.748061111111111","3581","","MGDG(8:0_17:1)+Na",0,0,0,0,"0.448061111111111","0.748061111111111","3581","","MGDG(8:0_17:1)+Na",0,0,0,0,"0.448061111111111","0.748061111111111","3581","","MGDG(8:0_17:1)+Na","653.4235","509.3085","385.1833","243.084","0.448061111111111","0.748061111111111","3581"
"","MGDG(8:0_20:2)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(8:0_20:2)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(8:0_20:2)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(8:0_20:2)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(8:0_20:2)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(8:0_20:2)+Na","693.4548","549.3398","385.1833","243.084","1.64766805555556","1.94766805555556","7811"
"","MGDG(8:0_22:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(8:0_22:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(8:0_22:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(8:0_22:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(8:0_22:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(8:0_22:4)+Na","717.4548","573.3398","385.1833","243.084","1.47928611111111","1.77928611111111","7151"
"","MGDG(10:0_14:1)+Na",0,0,0,0,"0.402827777777778","0.702827777777778","988","","MGDG(10:0_14:1)+Na",0,0,0,0,"0.402827777777778","0.702827777777778","988","","MGDG(10:0_14:1)+Na",0,0,0,0,"0.402827777777778","0.702827777777778","988","","MGDG(10:0_14:1)+Na",0,0,0,0,"0.402827777777778","0.702827777777778","988","","MGDG(10:0_14:1)+Na",0,0,0,0,"0.402827777777778","0.702827777777778","988","","MGDG(10:0_14:1)+Na","639.4079","467.2616","413.2146","243.084","0.402827777777778","0.702827777777778","988"
"","MGDG(10:0_15:1)+Na",0,0,0,0,"0.448061111111111","0.748061111111111","3581","","MGDG(10:0_15:1)+Na",0,0,0,0,"0.448061111111111","0.748061111111111","3581","","MGDG(10:0_15:1)+Na",0,0,0,0,"0.448061111111111","0.748061111111111","3581","","MGDG(10:0_15:1)+Na",0,0,0,0,"0.448061111111111","0.748061111111111","3581","","MGDG(10:0_15:1)+Na",0,0,0,0,"0.448061111111111","0.748061111111111","3581","","MGDG(10:0_15:1)+Na","653.4235","481.2772","413.2146","243.084","0.448061111111111","0.748061111111111","3581"
"","MGDG(10:0_17:2)+Na",0,0,0,0,"1.42527638888889","1.72527638888889","17057","","MGDG(10:0_17:2)+Na",0,0,0,0,"1.42527638888889","1.72527638888889","17057","","MGDG(10:0_17:2)+Na",0,0,0,0,"1.42527638888889","1.72527638888889","17057","","MGDG(10:0_17:2)+Na",0,0,0,0,"1.42527638888889","1.72527638888889","17057","","MGDG(10:0_17:2)+Na",0,0,0,0,"1.42527638888889","1.72527638888889","17057","","MGDG(10:0_17:2)+Na","679.4392","507.2929","413.2146","243.084","1.42527638888889","1.72527638888889","17057"
"","MGDG(10:0_18:2)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(10:0_18:2)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(10:0_18:2)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(10:0_18:2)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(10:0_18:2)+Na",0,0,0,0,"1.64766805555556","1.94766805555556","7811","","MGDG(10:0_18:2)+Na","693.4548","521.3085","413.2146","243.084","1.64766805555556","1.94766805555556","7811"
"","MGDG(10:0_20:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(10:0_20:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(10:0_20:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(10:0_20:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(10:0_20:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(10:0_20:4)+Na","717.4548","545.3085","413.2146","243.084","1.47928611111111","1.77928611111111","7151"
"","MGDG(10:0_24:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(10:0_24:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(10:0_24:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(10:0_24:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(10:0_24:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(10:0_24:1)+Na","779.5644","607.4181","413.2146","243.084","8.01050416666666","8.31050416666666","1754"
"","MGDG(10:0_26:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(10:0_26:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(10:0_26:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(10:0_26:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(10:0_26:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(10:0_26:0)+Na","809.6113","637.465","413.2146","243.084","11.3531472222222","11.6531472222222","7081"
