"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PG","[M+H]+","NL Head","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","RT at Max Intensity","PG","[M+H]+","NL Head","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Number of Scans","PG","[M+H]+","NL Head","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Max Intensity","PG","[M+H]+","NL Head","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Average m/z","PG","[M+H]+","NL Head","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PG","[M+H]+","NL Head","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment"
"","PG(8:0_20:0)+H",0,0,0,0,1,1,1,"4.09877222222222","4.39877222222222","816","","PG(8:0_20:0)+H",0,0,0,0,4.263561,4.263561,4.263561,"4.09877222222222","4.39877222222222","816","","PG(8:0_20:0)+H",0,0,0,0,1,1,1,"4.09877222222222","4.39877222222222","816","","PG(8:0_20:0)+H",0,0,0,0,46431.48,57082.63,25302.74,"4.09877222222222","4.39877222222222","816","","PG(8:0_20:0)+H",0,0,0,0,71.08571,95.08569,123.117,"4.09877222222222","4.39877222222222","816","","PG(8:0_20:0)+H","667.45451","496.44861","201.1485","369.3363","71.0856","95.0855","123.1168","4.09877222222222","4.39877222222222","816"
"","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(8:0_20:0)+H","667.45451","496.44861","201.1485","369.3363","71.0856","95.0855","123.1168","4.89391212121212","5.19391212121212","7999"
"","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(8:0_20:0)+H","667.45451","496.44861","201.1485","369.3363","71.0856","95.0855","123.1168","0.212874242424242","0.512874242424242","9146"
"","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(8:0_20:0)+H",0,0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(8:0_20:0)+H","667.45451","496.44861","201.1485","369.3363","71.0856","95.0855","123.1168","4.91876833333333","5.21876833333333","17671"
"","PG(8:0_22:3)+H",1,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(8:0_22:3)+H",5.146398,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(8:0_22:3)+H",1,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(8:0_22:3)+H",11788.24,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(8:0_22:3)+H",689.4396,0,0,0,0,0,0,"4.9153","5.2153","3576","","PG(8:0_22:3)+H","689.43891","518.43301","201.1485","391.3207","71.0856","95.0855","123.1168","4.9153","5.2153","3576"
"","PG(8:0_26:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(8:0_26:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(8:0_26:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(8:0_26:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(8:0_26:0)+H",0,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(8:0_26:0)+H","751.54841","580.54251","201.1485","453.4302","71.0856","95.0855","123.1168","7.82195138888889","8.12195138888889","9101"
"","PG(8:0_26:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(8:0_26:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(8:0_26:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(8:0_26:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(8:0_26:0)+H",0,0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(8:0_26:0)+H","751.54841","580.54251","201.1485","453.4302","71.0856","95.0855","123.1168","7.39776388888889","7.69776388888889","17810"
"","PG(10:0_18:0)+H",0,0,0,0,1,1,1,"4.09877222222222","4.39877222222222","816","","PG(10:0_18:0)+H",0,0,0,0,4.263561,4.263561,4.263561,"4.09877222222222","4.39877222222222","816","","PG(10:0_18:0)+H",0,0,0,0,1,1,1,"4.09877222222222","4.39877222222222","816","","PG(10:0_18:0)+H",0,0,0,0,46431.48,57082.63,25302.74,"4.09877222222222","4.39877222222222","816","","PG(10:0_18:0)+H",0,0,0,0,71.08571,95.08569,123.117,"4.09877222222222","4.39877222222222","816","","PG(10:0_18:0)+H","667.45451","496.44861","229.1798","341.305","71.0856","95.0855","123.1168","4.09877222222222","4.39877222222222","816"
"","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"4.89391212121212","5.19391212121212","7999","","PG(10:0_18:0)+H","667.45451","496.44861","229.1798","341.305","71.0856","95.0855","123.1168","4.89391212121212","5.19391212121212","7999"
"","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(10:0_18:0)+H",0,0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(10:0_18:0)+H","667.45451","496.44861","229.1798","341.305","71.0856","95.0855","123.1168","0.212874242424242","0.512874242424242","9146"
