"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-NS","[M+HCO2]-","[M-H]-","[M-CO-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[FA+NCCO-3H]-","[FA+NCCO-O-3H]-","[Sph-N-O-5H]-","[FA+N-H]-","[Sph-NCC-3H]-","[FA-3H]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-NS","[M+HCO2]-","[M-H]-","[M-CO-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[FA+NCCO-3H]-","[FA+NCCO-O-3H]-","[Sph-N-O-5H]-","[FA+N-H]-","[Sph-NCC-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Number of Scans","Cer-NS","[M+HCO2]-","[M-H]-","[M-CO-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[FA+NCCO-3H]-","[FA+NCCO-O-3H]-","[Sph-N-O-5H]-","[FA+N-H]-","[Sph-NCC-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Max Intensity","Cer-NS","[M+HCO2]-","[M-H]-","[M-CO-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[FA+NCCO-3H]-","[FA+NCCO-O-3H]-","[Sph-N-O-5H]-","[FA+N-H]-","[Sph-NCC-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Average m/z","Cer-NS","[M+HCO2]-","[M-H]-","[M-CO-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[FA+NCCO-3H]-","[FA+NCCO-O-3H]-","[Sph-N-O-5H]-","[FA+N-H]-","[Sph-NCC-3H]-","[FA-3H]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-NS","[M+HCO2]-","[M-H]-","[M-CO-H]-","[M-CO-3H]-","[M-CO-O-3H]-","[FA+NCCO-3H]-","[FA+NCCO-O-3H]-","[Sph-N-O-5H]-","[FA+N-H]-","[Sph-NCC-3H]-","[FA-3H]-","RT_min","RT_max","Comment"
"","Cer-NS(d15:1/26:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d15:1/26:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d15:1/26:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d15:1/26:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d15:1/26:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d15:1/26:1)+HCO2","678.6036","632.5982","602.5876","600.572","584.577","434.3998","418.4049","221.1911","392.3898","195.1754","375.3633","9.8607848484848","10.1607848484848","1372"
"","Cer-NS(d15:1/27:0)+HCO2",1,1,1,0,1,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d15:1/27:0)+HCO2",11.29021,11.29021,11.29021,11.29021,11.29021,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d15:1/27:0)+HCO2",1,2,1,1,1,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d15:1/27:0)+HCO2",8007.366,335871.2,5140.881,793.6923,2095.437,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d15:1/27:0)+HCO2",694.6364,648.63095,618.6187,616.6044,600.6101,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d15:1/27:0)+HCO2","694.6349","648.6295","618.6189","616.6033","600.6083","450.4311","434.4362","221.1911","408.4211","195.1754","391.3945","11.1295590909091","11.4295590909091","108"
"","Cer-NS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d15:1/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d15:1/27:0)+HCO2","694.6349","648.6295","618.6189","616.6033","600.6083","450.4311","434.4362","221.1911","408.4211","195.1754","391.3945","10.5101439393939","10.8101439393939","1160"
"","Cer-NS(d15:1/27:0)+HCO2",1,1,1,0,1,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d15:1/27:0)+HCO2",11.29021,11.29021,11.29021,11.29021,11.29021,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d15:1/27:0)+HCO2",1,2,1,1,1,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d15:1/27:0)+HCO2",8007.366,335871.2,5140.881,793.6923,2095.437,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d15:1/27:0)+HCO2",694.6364,648.63095,618.6187,616.6044,600.6101,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d15:1/27:0)+HCO2","694.6349","648.6295","618.6189","616.6033","600.6083","450.4311","434.4362","221.1911","408.4211","195.1754","391.3945","11.0714060606061","11.3714060606061","3271"
"","Cer-NS(d15:1/27:1)+HCO2",0,1,1,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d15:1/27:1)+HCO2",10.4723,10.4723,10.33888,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d15:1/27:1)+HCO2",2,2,2,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d15:1/27:1)+HCO2",774.0684,49953.16,1494.75,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d15:1/27:1)+HCO2",692.62145,646.61545,616.60385,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d15:1/27:1)+HCO2","692.6193","646.6138","616.6033","614.5876","598.5927","448.4155","432.4206","221.1911","406.4054","195.1754","389.3789","10.3349015151515","10.6349015151515","366"
"","Cer-NS(d15:1/27:1)+HCO2",0,1,1,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d15:1/27:1)+HCO2",10.4723,10.4723,10.33888,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d15:1/27:1)+HCO2",2,2,2,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d15:1/27:1)+HCO2",774.0684,49953.16,1494.75,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d15:1/27:1)+HCO2",692.62145,646.61545,616.60385,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d15:1/27:1)+HCO2","692.6193","646.6138","616.6033","614.5876","598.5927","448.4155","432.4206","221.1911","406.4054","195.1754","389.3789","10.1740090909091","10.4740090909091","470"
"","Cer-NS(d15:1/28:0)+HCO2",0,1,0,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NS(d15:1/28:0)+HCO2",0,11.52146,0,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NS(d15:1/28:0)+HCO2",0,2,0,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NS(d15:1/28:0)+HCO2",0,44391.68,0,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NS(d15:1/28:0)+HCO2",0,662.64675,0,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NS(d15:1/28:0)+HCO2","708.6506","662.6451","632.6346","630.6189","614.624","464.4468","448.4518","221.1911","422.4367","195.1754","405.4102","11.3712712121212","11.6712712121212","402"
"","Cer-NS(d15:1/28:0)+HCO2",0,1,0,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-NS(d15:1/28:0)+HCO2",0,11.66083,0,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-NS(d15:1/28:0)+HCO2",0,1,0,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-NS(d15:1/28:0)+HCO2",0,27088.57,0,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-NS(d15:1/28:0)+HCO2",0,662.6468,0,0,0,0,0,0,0,0,0,"11.5306954545455","11.8306954545455","2733","","Cer-NS(d15:1/28:0)+HCO2","708.6506","662.6451","632.6346","630.6189","614.624","464.4468","448.4518","221.1911","422.4367","195.1754","405.4102","11.5306954545455","11.8306954545455","2733"
"","Cer-NS(d15:1/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-NS(d15:1/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-NS(d15:1/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-NS(d15:1/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-NS(d15:1/28:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-NS(d15:1/28:1)+HCO2","706.6349","660.6295","630.6189","628.6033","612.6083","462.4311","446.4362","221.1911","420.4211","195.1754","403.3945","10.4557772727273","10.7557772727273","1755"
"","Cer-NS(d15:1/29:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-NS(d15:1/29:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-NS(d15:1/29:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-NS(d15:1/29:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-NS(d15:1/29:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"11.9297696969697","12.2297696969697","759","","Cer-NS(d15:1/29:0)+HCO2","722.6663","676.6608","646.6502","644.6346","628.6396","478.4624","462.4675","221.1911","436.4524","195.1754","419.4258","11.9297696969697","12.2297696969697","759"
"","Cer-NS(d15:2/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d15:2/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d15:2/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d15:2/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d15:2/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d15:2/26:0)+HCO2","678.6036","632.5982","602.5876","600.572","584.577","436.4155","420.4206","219.1754","394.4054","193.1598","377.3789","9.8607848484848","10.1607848484848","1372"
"","Cer-NS(d15:2/27:0)+HCO2",0,1,1,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d15:2/27:0)+HCO2",10.4723,10.4723,10.33888,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d15:2/27:0)+HCO2",2,2,2,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d15:2/27:0)+HCO2",774.0684,49953.16,1494.75,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d15:2/27:0)+HCO2",692.62145,646.61545,616.60385,0,0,0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d15:2/27:0)+HCO2","692.6193","646.6138","616.6033","614.5876","598.5927","450.4311","434.4362","219.1754","408.4211","193.1598","391.3945","10.3349015151515","10.6349015151515","366"
"","Cer-NS(d15:2/27:0)+HCO2",0,1,1,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d15:2/27:0)+HCO2",10.4723,10.4723,10.33888,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d15:2/27:0)+HCO2",2,2,2,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d15:2/27:0)+HCO2",774.0684,49953.16,1494.75,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d15:2/27:0)+HCO2",692.62145,646.61545,616.60385,0,0,0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d15:2/27:0)+HCO2","692.6193","646.6138","616.6033","614.5876","598.5927","450.4311","434.4362","219.1754","408.4211","193.1598","391.3945","10.1740090909091","10.4740090909091","470"
"","Cer-NS(d15:2/27:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d15:2/27:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d15:2/27:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d15:2/27:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d15:2/27:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d15:2/27:1)+HCO2","690.6036","644.5982","614.5876","612.572","596.577","448.4155","432.4206","219.1754","406.4054","193.1598","389.3789","9.3155606060606","9.6155606060606","1495"
"","Cer-NS(d15:2/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-NS(d15:2/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-NS(d15:2/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-NS(d15:2/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-NS(d15:2/28:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-NS(d15:2/28:0)+HCO2","706.6349","660.6295","630.6189","628.6033","612.6083","464.4468","448.4518","219.1754","422.4367","193.1598","405.4102","10.4557772727273","10.7557772727273","1755"
"","Cer-NS(d15:3/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d15:3/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d15:3/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d15:3/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d15:3/27:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d15:3/27:0)+HCO2","690.6036","644.5982","614.5876","612.572","596.577","450.4311","434.4362","217.1598","408.4211","191.1441","391.3945","9.3155606060606","9.6155606060606","1495"
"","Cer-NS(d16:1/22:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NS(d16:1/22:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NS(d16:1/22:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NS(d16:1/22:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NS(d16:1/22:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.27443484848485","9.57443484848485","1335","","Cer-NS(d16:1/22:0)+HCO2","638.5723","592.5669","562.5563","560.5406","544.5457","380.3529","364.3579","235.2067","338.3428","209.1911","321.3163","9.27443484848485","9.57443484848485","1335"
"","Cer-NS(d16:1/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NS(d16:1/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NS(d16:1/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NS(d16:1/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NS(d16:1/23:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.77759848484848","10.0775984848485","3025","","Cer-NS(d16:1/23:0)+HCO2","652.588","606.5825","576.572","574.5563","558.5614","394.3685","378.3736","235.2067","352.3585","209.1911","335.3319","9.77759848484848","10.0775984848485","3025"
"","Cer-NS(d16:1/24:0)+HCO2",0,1,0,0,0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-NS(d16:1/24:0)+HCO2",0,10.37019,0,0,0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-NS(d16:1/24:0)+HCO2",0,1,0,0,0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-NS(d16:1/24:0)+HCO2",0,47550.63,0,0,0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-NS(d16:1/24:0)+HCO2",0,620.5994,0,0,0,0,0,0,0,0,0,"10.2572696969697","10.5572696969697","287","","Cer-NS(d16:1/24:0)+HCO2","666.6036","620.5982","590.5876","588.572","572.577","408.3842","392.3893","235.2067","366.3741","209.1911","349.3476","10.2572696969697","10.5572696969697","287"
"","Cer-NS(d16:1/25:0)+HCO2",1,1,0,0,0,0,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-NS(d16:1/25:0)+HCO2",10.8619,10.8619,10.8619,0,0,0,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-NS(d16:1/25:0)+HCO2",1,1,1,0,0,0,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-NS(d16:1/25:0)+HCO2",1057.556,65958.08,515.0173,0,0,0,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-NS(d16:1/25:0)+HCO2",680.6201,634.6152,604.6054,0,0,0,0,0,0,0,0,"10.6999696969697","10.9999696969697","227","","Cer-NS(d16:1/25:0)+HCO2","680.6193","634.6138","604.6033","602.5876","586.5927","422.3998","406.4049","235.2067","380.3898","209.1911","363.3633","10.6999696969697","10.9999696969697","227"
"","Cer-NS(d16:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-NS(d16:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-NS(d16:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-NS(d16:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-NS(d16:1/25:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5248181818182","10.8248181818182","1553","","Cer-NS(d16:1/25:0)+HCO2","680.6193","634.6138","604.6033","602.5876","586.5927","422.3998","406.4049","235.2067","380.3898","209.1911","363.3633","10.5248181818182","10.8248181818182","1553"
"","Cer-NS(d16:1/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d16:1/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d16:1/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d16:1/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d16:1/25:1)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-NS(d16:1/25:1)+HCO2","678.6036","632.5982","602.5876","600.572","584.577","420.3842","404.3893","235.2067","378.3741","209.1911","361.3476","9.8607848484848","10.1607848484848","1372"
"","Cer-NS(d16:1/26:0)+HCO2",1,1,1,0,1,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d16:1/26:0)+HCO2",11.29021,11.29021,11.29021,11.29021,11.29021,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d16:1/26:0)+HCO2",1,2,1,1,1,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d16:1/26:0)+HCO2",8007.366,335871.2,5140.881,793.6923,2095.437,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d16:1/26:0)+HCO2",694.6364,648.63095,618.6187,616.6044,600.6101,0,0,0,0,0,0,"11.1295590909091","11.4295590909091","108","","Cer-NS(d16:1/26:0)+HCO2","694.6349","648.6295","618.6189","616.6033","600.6083","436.4155","420.4206","235.2067","394.4054","209.1911","377.3789","11.1295590909091","11.4295590909091","108"
"","Cer-NS(d16:1/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d16:1/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d16:1/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d16:1/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d16:1/26:0)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"10.5101439393939","10.8101439393939","1160","","Cer-NS(d16:1/26:0)+HCO2","694.6349","648.6295","618.6189","616.6033","600.6083","436.4155","420.4206","235.2067","394.4054","209.1911","377.3789","10.5101439393939","10.8101439393939","1160"
"","Cer-NS(d16:1/26:0)+HCO2",1,1,1,0,1,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d16:1/26:0)+HCO2",11.29021,11.29021,11.29021,11.29021,11.29021,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d16:1/26:0)+HCO2",1,2,1,1,1,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d16:1/26:0)+HCO2",8007.366,335871.2,5140.881,793.6923,2095.437,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d16:1/26:0)+HCO2",694.6364,648.63095,618.6187,616.6044,600.6101,0,0,0,0,0,0,"11.0714060606061","11.3714060606061","3271","","Cer-NS(d16:1/26:0)+HCO2","694.6349","648.6295","618.6189","616.6033","600.6083","436.4155","420.4206","235.2067","394.4054","209.1911","377.3789","11.0714060606061","11.3714060606061","3271"
"","Cer-NS(d16:1/26:1)+HCO2",0,1,1,0,0,0,0,0,1,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d16:1/26:1)+HCO2",10.4723,10.4723,10.33888,0,0,0,0,0,10.4723,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d16:1/26:1)+HCO2",2,2,2,0,0,0,0,0,1,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d16:1/26:1)+HCO2",774.0684,49953.16,1494.75,0,0,0,0,0,2579.547,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d16:1/26:1)+HCO2",692.62145,646.61545,616.60385,0,0,0,0,0,392.3901,0,0,"10.3349015151515","10.6349015151515","366","","Cer-NS(d16:1/26:1)+HCO2","692.6193","646.6138","616.6033","614.5876","598.5927","434.3998","418.4049","235.2067","392.3898","209.1911","375.3633","10.3349015151515","10.6349015151515","366"
"","Cer-NS(d16:1/26:1)+HCO2",0,1,1,0,0,0,0,0,1,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d16:1/26:1)+HCO2",10.4723,10.4723,10.33888,0,0,0,0,0,10.4723,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d16:1/26:1)+HCO2",2,2,2,0,0,0,0,0,1,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d16:1/26:1)+HCO2",774.0684,49953.16,1494.75,0,0,0,0,0,2579.547,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d16:1/26:1)+HCO2",692.62145,646.61545,616.60385,0,0,0,0,0,392.3901,0,0,"10.1740090909091","10.4740090909091","470","","Cer-NS(d16:1/26:1)+HCO2","692.6193","646.6138","616.6033","614.5876","598.5927","434.3998","418.4049","235.2067","392.3898","209.1911","375.3633","10.1740090909091","10.4740090909091","470"
"","Cer-NS(d16:1/26:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d16:1/26:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d16:1/26:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d16:1/26:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d16:1/26:2)+HCO2",0,0,0,0,0,0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-NS(d16:1/26:2)+HCO2","690.6036","644.5982","614.5876","612.572","596.577","432.3842","416.3893","235.2067","390.3741","209.1911","373.3476","9.3155606060606","9.6155606060606","1495"
"","Cer-NS(d16:1/27:0)+HCO2",0,1,0,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NS(d16:1/27:0)+HCO2",0,11.52146,0,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NS(d16:1/27:0)+HCO2",0,2,0,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NS(d16:1/27:0)+HCO2",0,44391.68,0,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NS(d16:1/27:0)+HCO2",0,662.64675,0,0,0,0,0,0,0,0,0,"11.3712712121212","11.6712712121212","402","","Cer-NS(d16:1/27:0)+HCO2","708.6506","662.6451","632.6346","630.6189","614.624","450.4311","434.4362","235.2067","408.4211","209.1911","391.3945","11.3712712121212","11.6712712121212","402"
