"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer-EOS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","RT at Max Intensity","Cer-EOS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Number of Scans","Cer-EOS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Max Intensity","Cer-EOS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Average m/z","Cer-EOS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer-EOS","[M-H]-","NL of EFA","[FAA+C2H2-H]-","[EFA-H]-","[FAA-H]-","[Sph-C2H8NO]-","RT_min","RT_max","Comment"
"","Cer-EOS(d14:1/15:0-O-15:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/15:0-O-15:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/15:0-O-15:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/15:0-O-15:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/15:0-O-15:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/15:0-O-15:0)-H","706.6349","482.4209","282.2439","241.2173","256.2282","181.1598","10.4557772727273","10.7557772727273","1755"
"","Cer-EOS(d14:1/14:0-O-15:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/14:0-O-15:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/14:0-O-15:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/14:0-O-15:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/14:0-O-15:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/14:0-O-15:1)-H","690.6036","468.4053","268.2282","239.2017","242.2126","181.1598","9.3155606060606","9.6155606060606","1495"
"","Cer-EOS(d14:1/12:0-O-16:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d14:1/12:0-O-16:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d14:1/12:0-O-16:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d14:1/12:0-O-16:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d14:1/12:0-O-16:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d14:1/12:0-O-16:0)-H","678.6036","440.374","240.1969","255.233","214.1813","181.1598","9.8607848484848","10.1607848484848","1372"
"","Cer-EOS(d14:1/13:0-O-16:0)-H",0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d14:1/13:0-O-16:0)-H",10.4723,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d14:1/13:0-O-16:0)-H",2,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d14:1/13:0-O-16:0)-H",774.0684,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d14:1/13:0-O-16:0)-H",692.62145,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d14:1/13:0-O-16:0)-H","692.6193","454.3896","254.2126","255.233","228.1969","181.1598","10.3349015151515","10.6349015151515","366"
"","Cer-EOS(d14:1/13:0-O-16:0)-H",0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d14:1/13:0-O-16:0)-H",10.4723,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d14:1/13:0-O-16:0)-H",2,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d14:1/13:0-O-16:0)-H",774.0684,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d14:1/13:0-O-16:0)-H",692.62145,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d14:1/13:0-O-16:0)-H","692.6193","454.3896","254.2126","255.233","228.1969","181.1598","10.1740090909091","10.4740090909091","470"
"","Cer-EOS(d14:1/13:1-O-16:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/13:1-O-16:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/13:1-O-16:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/13:1-O-16:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/13:1-O-16:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/13:1-O-16:0)-H","690.6036","452.374","252.1969","255.233","226.1813","181.1598","9.3155606060606","9.6155606060606","1495"
"","Cer-EOS(d14:1/14:0-O-16:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/14:0-O-16:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/14:0-O-16:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/14:0-O-16:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/14:0-O-16:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/14:0-O-16:0)-H","706.6349","468.4053","268.2282","255.233","242.2126","181.1598","10.4557772727273","10.7557772727273","1755"
"","Cer-EOS(d14:1/13:0-O-16:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/13:0-O-16:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/13:0-O-16:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/13:0-O-16:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/13:0-O-16:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/13:0-O-16:1)-H","690.6036","454.3896","254.2126","253.2173","228.1969","181.1598","9.3155606060606","9.6155606060606","1495"
"","Cer-EOS(d14:1/12:0-O-17:0)-H",0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d14:1/12:0-O-17:0)-H",10.4723,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d14:1/12:0-O-17:0)-H",2,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d14:1/12:0-O-17:0)-H",774.0684,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d14:1/12:0-O-17:0)-H",692.62145,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d14:1/12:0-O-17:0)-H","692.6193","440.374","240.1969","269.2486","214.1813","181.1598","10.3349015151515","10.6349015151515","366"
"","Cer-EOS(d14:1/12:0-O-17:0)-H",0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d14:1/12:0-O-17:0)-H",10.4723,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d14:1/12:0-O-17:0)-H",2,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d14:1/12:0-O-17:0)-H",774.0684,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d14:1/12:0-O-17:0)-H",692.62145,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d14:1/12:0-O-17:0)-H","692.6193","440.374","240.1969","269.2486","214.1813","181.1598","10.1740090909091","10.4740090909091","470"
"","Cer-EOS(d14:1/12:1-O-17:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/12:1-O-17:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/12:1-O-17:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/12:1-O-17:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/12:1-O-17:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/12:1-O-17:0)-H","690.6036","438.3583","238.1813","269.2486","212.1656","181.1598","9.3155606060606","9.6155606060606","1495"
"","Cer-EOS(d14:1/13:0-O-17:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/13:0-O-17:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/13:0-O-17:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/13:0-O-17:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/13:0-O-17:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/13:0-O-17:0)-H","706.6349","454.3896","254.2126","269.2486","228.1969","181.1598","10.4557772727273","10.7557772727273","1755"
"","Cer-EOS(d14:1/12:0-O-17:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/12:0-O-17:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/12:0-O-17:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/12:0-O-17:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/12:0-O-17:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d14:1/12:0-O-17:1)-H","690.6036","440.374","240.1969","267.233","214.1813","181.1598","9.3155606060606","9.6155606060606","1495"
"","Cer-EOS(d14:1/12:0-O-18:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/12:0-O-18:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/12:0-O-18:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/12:0-O-18:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/12:0-O-18:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d14:1/12:0-O-18:0)-H","706.6349","440.374","240.1969","283.2643","214.1813","181.1598","10.4557772727273","10.7557772727273","1755"
"","Cer-EOS(d15:1/13:0-O-14:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d15:1/13:0-O-14:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d15:1/13:0-O-14:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d15:1/13:0-O-14:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d15:1/13:0-O-14:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d15:1/13:0-O-14:0)-H","678.6036","468.4053","254.2126","227.2017","228.1969","195.1754","9.8607848484848","10.1607848484848","1372"
"","Cer-EOS(d15:1/14:0-O-14:0)-H",0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d15:1/14:0-O-14:0)-H",10.4723,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d15:1/14:0-O-14:0)-H",2,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d15:1/14:0-O-14:0)-H",774.0684,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d15:1/14:0-O-14:0)-H",692.62145,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d15:1/14:0-O-14:0)-H","692.6193","482.4209","268.2282","227.2017","242.2126","195.1754","10.3349015151515","10.6349015151515","366"
"","Cer-EOS(d15:1/14:0-O-14:0)-H",0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d15:1/14:0-O-14:0)-H",10.4723,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d15:1/14:0-O-14:0)-H",2,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d15:1/14:0-O-14:0)-H",774.0684,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d15:1/14:0-O-14:0)-H",692.62145,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d15:1/14:0-O-14:0)-H","692.6193","482.4209","268.2282","227.2017","242.2126","195.1754","10.1740090909091","10.4740090909091","470"
"","Cer-EOS(d15:1/14:1-O-14:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/14:1-O-14:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/14:1-O-14:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/14:1-O-14:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/14:1-O-14:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/14:1-O-14:0)-H","690.6036","480.4053","266.2126","227.2017","240.1969","195.1754","9.3155606060606","9.6155606060606","1495"
"","Cer-EOS(d15:1/15:0-O-14:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d15:1/15:0-O-14:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d15:1/15:0-O-14:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d15:1/15:0-O-14:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d15:1/15:0-O-14:0)-H",0,0,0,0,0,0,"10.4557772727273","10.7557772727273","1755","","Cer-EOS(d15:1/15:0-O-14:0)-H","706.6349","496.4366","282.2439","227.2017","256.2282","195.1754","10.4557772727273","10.7557772727273","1755"
"","Cer-EOS(d15:1/14:0-O-14:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/14:0-O-14:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/14:0-O-14:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/14:0-O-14:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/14:0-O-14:1)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/14:0-O-14:1)-H","690.6036","482.4209","268.2282","225.186","242.2126","195.1754","9.3155606060606","9.6155606060606","1495"
"","Cer-EOS(d15:1/12:0-O-15:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d15:1/12:0-O-15:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d15:1/12:0-O-15:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d15:1/12:0-O-15:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d15:1/12:0-O-15:0)-H",0,0,0,0,0,0,"9.8607848484848","10.1607848484848","1372","","Cer-EOS(d15:1/12:0-O-15:0)-H","678.6036","454.3896","240.1969","241.2173","214.1813","195.1754","9.8607848484848","10.1607848484848","1372"
"","Cer-EOS(d15:1/13:0-O-15:0)-H",0,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d15:1/13:0-O-15:0)-H",10.4723,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d15:1/13:0-O-15:0)-H",2,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d15:1/13:0-O-15:0)-H",774.0684,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d15:1/13:0-O-15:0)-H",692.62145,0,0,0,0,0,"10.3349015151515","10.6349015151515","366","","Cer-EOS(d15:1/13:0-O-15:0)-H","692.6193","468.4053","254.2126","241.2173","228.1969","195.1754","10.3349015151515","10.6349015151515","366"
"","Cer-EOS(d15:1/13:0-O-15:0)-H",0,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d15:1/13:0-O-15:0)-H",10.4723,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d15:1/13:0-O-15:0)-H",2,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d15:1/13:0-O-15:0)-H",774.0684,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d15:1/13:0-O-15:0)-H",692.62145,0,0,0,0,0,"10.1740090909091","10.4740090909091","470","","Cer-EOS(d15:1/13:0-O-15:0)-H","692.6193","468.4053","254.2126","241.2173","228.1969","195.1754","10.1740090909091","10.4740090909091","470"
"","Cer-EOS(d15:1/13:1-O-15:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/13:1-O-15:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/13:1-O-15:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/13:1-O-15:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/13:1-O-15:0)-H",0,0,0,0,0,0,"9.3155606060606","9.6155606060606","1495","","Cer-EOS(d15:1/13:1-O-15:0)-H","690.6036","466.3896","252.1969","241.2173","226.1813","195.1754","9.3155606060606","9.6155606060606","1495"
